snapshot_date,rank,name,symbol,market_cap,price,circulating,volume_24h
2021-01-04,69,AVAXAvalanche,AVAX,"$276,222,731.57",$3.5902,"76,937,055 AVAX","$39,414,734.20"
2021-01-04,70,TUSDTrueUSD,TUSD,"$274,962,598.29",$0.9997,"275,031,537 TUSD *","$170,875,334.15"
2021-01-04,71,CHSBSwissBorg,CHSB,"$257,844,457.69",$0.2765,"932,687,845 CHSB *","$4,899,618.31"
2021-01-04,72,RUNETHORChain,RUNE,"$251,942,743.86",$1.5902,"158,432,088 RUNE *","$41,093,946.38"
2021-01-04,51,UMAUMA,UMA,"$486,832,284.57",$8.7707,"55,506,671 UMA *","$38,035,130.71"
2021-01-04,63,BTTBitTorrent,BTT,"$311,944,584.93",$0.0003151,"989,963,963,539 BTT *","$82,744,606.86"
2021-01-04,77,HBARHedera Hashgraph,HBAR,"$219,110,064.20",$0.03241,"6,760,905,196 HBAR *","$13,435,510.29"
2021-01-04,73,QTUMQtum,QTUM,"$244,014,116.89",$2.5020,"97,529,236 QTUM *","$484,756,942.45"
2021-01-04,85,ABBCABBC Coin,ABBC,"$172,410,815.08",$0.2045,"843,025,189 ABBC","$32,825,604.73"
2021-01-04,79,SCSiacoin,SC,"$198,966,791.66",$0.004396,"45,259,792,992 SC","$37,314,148.28"
2021-01-04,80,HUSDHUSD,HUSD,"$186,301,573.98",$0.9995,"186,393,458 HUSD *","$116,435,904.51"
2021-01-04,81,CELOCelo,CELO,"$185,560,765.09",$1.4911,"124,447,717 CELO","$3,568,370.70"
2021-01-04,82,USTTerraUSD,UST,"$184,652,375.00",$1.0037,"183,980,829 UST","$17,603,488.68"
2021-01-04,83,REPAugur,REP,"$180,522,987.43",$16.41,"11,000,000 REP *","$19,776,818.84"
2021-01-04,84,NXMNXM,NXM,"$179,365,476.35",$30.92,"5,801,350 NXM *","$38,267,897.84"
2021-01-04,78,NANONano,NANO,"$199,234,548.71",$1.4952,"133,248,297 NANO *","$60,359,794.39"
2021-01-04,86,OCEANOcean Protocol,OCEAN,"$164,686,086.16",$0.393,"419,026,837 OCEAN *","$56,154,026.36"
2021-01-04,87,KNCKyber Network,KNC,"$164,653,751.65",$0.8198,"200,842,421 KNC *","$52,681,895.94"
2021-01-04,90,HEDGHedgeTrade,HEDG,"$155,713,458.95",$0.459,"339,231,468 HEDG *","$295,580.51"
2021-01-04,88,BTCBBitcoin BEP2,BTCB,"$160,592,047.47","$31,922.80","5,031 BTCB *","$91,389.80"
2021-01-04,91,LSKLisk,LSK,"$151,428,892.23",$1.1938,"126,843,971 LSK *","$7,036,563.70"
2021-01-04,92,XVGVerge,XVG,"$146,226,461.47",$0.008909,"16,414,049,743 XVG","$9,984,625.55"
2021-01-04,93,TFUELTheta Fuel,TFUEL,"$145,283,421.76",$0.02928,"4,962,631,792 TFUEL *","$11,074,840.70"
2021-01-04,94,GNOGnosis,GNO,"$141,687,003.68",$94.17,"1,504,589 GNO *","$2,194,120.61"
2021-01-04,95,ZENHorizen,ZEN,"$142,044,446.90",$13.38,"10,618,006 ZEN","$20,381,046.32"
2021-01-04,96,MAIDMaidSafeCoin,MAID,"$141,797,229.98",$0.3133,"452,552,412 MAID *","$1,148,611.34"
2021-01-04,97,BANDBand Protocol,BAND,"$137,993,430.18",$6.7333,"20,494,033 BAND *","$142,595,058.31"
2021-01-04,98,QNTQuant,QNT,"$136,363,586.55",$11.30,"12,072,738 QNT *","$2,522,712.46"
2021-01-04,99,BNTBancor,BNT,"$134,791,091.87",$1.4019,"96,150,842 BNT *","$51,633,683.11"
2021-01-04,100,ANTAragon,ANT,"$131,833,274.17",$3.3283,"39,609,523 ANT *","$29,890,656.71"
2021-01-04,52,OMGOMG Network,OMG,"$452,830,272.81",$3.2288,"140,245,398 OMG *","$600,097,783.58"
2021-01-11,8,DOTPolkadot,DOT,"$7,438,402,688.14",$8.2764,"898,744,235DOT*","$3,251,043,299.10"
2021-01-11,10,LINKChainlink,LINK,"$5,830,190,684.94",$14.56,"400,509,556LINK*","$3,428,738,380.38"
2021-01-11,9,XLMStellar,XLM,"$6,005,967,121.74",$0.2722,"22,061,426,444XLM*","$2,510,439,297.13"
2021-01-11,7,ADACardano,ADA,"$8,570,417,664.67",$0.2755,"31,112,484,646ADA","$4,768,803,200.28"
2021-01-11,23,CROCrypto.com Coin,CRO,"$1,514,354,916.99",$0.0669,"22,636,529,679 CRO *","$140,531,497.45"
2021-01-11,5,LTCLitecoin,LTC,"$9,224,850,104.68",$139.25,"66,245,618LTC","$17,994,263,494.32"
2021-01-11,4,XRPXRP,XRP,"$13,117,452,413.86",$0.2889,"45,404,028,640XRP*","$9,787,288,502.54"
2021-01-11,3,USDTTether,USDT,"$24,286,060,230.41",$1.0006,"24,271,812,725USDT*","$180,779,058,885.16"
2021-01-11,2,ETHEthereum,ETH,"$124,508,608,481.95","$1,090.15","114,212,849ETH","$60,733,630,300.41"
2021-01-11,6,BCHBitcoin Cash,BCH,"$8,920,738,453.75",$479.59,"18,600,863BCH","$15,256,193,288.71"
2021-01-11,11,BNBBinance Coin,BNB,"$5,541,076,413.42",$38.37,"144,406,561BNB*","$890,728,693.59"
2021-01-11,22,VETVeChain,VET,"$1,563,896,656.04",$0.02432,"64,315,576,989 VET *","$543,976,369.52"
2021-01-11,24,UNIUniswap,UNI,"$1,448,673,258.43",$5.2515,"275,858,656 UNI *","$4,720,287,191.81"
2021-01-11,14,BSVBitcoin SV,BSV,"$3,563,744,311.26",$191.37,"18,622,314BSV","$3,293,931,192.07"
2021-01-11,15,XMRMonero,XMR,"$2,824,429,784.13",$158.58,"17,810,654XMR","$2,721,315,080.64"
2021-01-11,16,EOSEOS,EOS,"$2,510,270,932.76",$2.6722,"939,393,260EOS*","$6,056,389,193.07"
2021-01-11,17,TRXTRON,TRX,"$2,075,510,950.43",$0.02896,"71,659,657,369TRX*","$1,859,950,567.09"
2021-01-11,18,XEMNEM,XEM,"$1,920,423,063.44",$0.2134,"8,999,999,999XEM*","$147,223,262.15"
2021-01-11,19,THETATHETA,THETA,"$1,818,693,809.08",$1.8187,"1,000,000,000THETA*","$157,069,924.71"
2021-01-11,20,XTZTezos,XTZ,"$1,765,979,624.09",$2.3347,"756,406,591XTZ*","$547,896,519.00"
2021-01-11,21,NEONeo,NEO,"$1,677,104,527.24",$23.78,"70,538,831 NEO *","$2,780,534,346.58"
2021-01-11,12,USDCUSD Coin,USDC,"$4,674,298,887.25",$0.9999,"4,674,527,799USDC*","$3,166,658,513.04"
2021-01-11,13,WBTCWrapped Bitcoin,WBTC,"$4,093,277,248.93","$35,375.02","115,711WBTC*","$406,742,475.47"
2021-01-11,1,BTCBitcoin,BTC,"$661,457,321,418.05","$35,566.66","18,597,681BTC","$123,320,567,398.62"
2021-01-11,38,HTHuobi Token,HT,"$960,228,415.18",$4.7993,"200,076,194 HT *","$545,663,489.32"
2021-01-11,48,KSMKusama,KSM,"$546,459,259.48",$64.52,"8,470,098 KSM *","$135,286,560.08"
2021-01-11,37,FILFilecoin,FIL,"$963,642,033.40",$21.61,"44,584,205 FIL","$354,889,531.96"
2021-01-11,27,AAVEAave,AAVE,"$1,402,127,902.58",$115.60,"12,128,929 AAVE *","$610,095,319.08"
2021-01-11,28,DAIDai,DAI,"$1,365,314,929.01",$1.0010,"1,363,929,691 DAI *","$958,822,243.41"
2021-01-11,29,LEOUNUS SED LEO,LEO,"$1,336,302,805.44",$1.3370,"999,498,893 LEO *","$19,742,276.24"
2021-01-11,30,DASHDash,DASH,"$1,236,703,666.24",$124.72,"9,915,494 DASH","$2,990,132,030.91"
2021-01-11,31,ATOMCosmos,ATOM,"$1,193,793,776.97",$5.7214,"208,654,615 ATOM *","$755,034,143.10"
2021-01-11,32,CELCelsius,CEL,"$1,164,204,462.21",$4.8739,"238,863,520 CEL","$24,714,957.88"
2021-01-11,33,DOGEDogecoin,DOGE,"$1,129,945,721.67",$0.008835,"127,900,991,509 DOGE","$637,956,958.10"
2021-01-11,34,BUSDBinance USD,BUSD,"$1,083,691,020.71",$1.0005,"1,083,149,446 BUSD *","$5,115,652,923.19"
2021-01-11,35,MIOTAIOTA,MIOTA,"$1,025,316,188.26",$0.3689,"2,779,530,283 MIOTA *","$68,731,536.19"
2021-01-11,36,REVRevain,REV,"$991,399,467.54",$0.01166,"85,061,485,690 REV *","$6,494,761.58"
2021-01-11,50,ALGOAlgorand,ALGO,"$506,326,645.09",$0.417,"1,214,250,562 ALGO","$258,262,716.89"
2021-01-11,39,ZECZcash,ZEC,"$960,442,155.23",$88.20,"10,889,519 ZEC","$3,440,192,160.24"
2021-01-11,40,YFIyearn.finance,YFI,"$901,718,409.51","$30,088.58","29,969 YFI *","$1,122,120,771.81"
2021-01-11,41,ETCEthereum Classic,ETC,"$843,074,983.85",$7.2483,"116,313,299 ETC","$2,935,227,024.73"
2021-01-11,42,FTTFTX Token,FTT,"$812,421,324.07",$8.6110,"94,346,958 FTT *","$101,302,369.57"
2021-01-11,43,SOLSolana,SOL,"$814,011,024.97",$3.1081,"261,900,744 SOL *","$82,877,500.03"
2021-01-11,44,COMPCompound,COMP,"$743,775,597.13",$167.74,"4,434,047 COMP *","$423,164,463.56"
2021-01-11,45,ZILZilliqa,ZIL,"$707,498,471.91",$0.06531,"10,832,405,273 ZIL","$224,962,011.29"
2021-01-11,46,DCRDecred,DCR,"$663,733,645.03",$53.21,"12,474,395 DCR","$47,507,286.35"
2021-01-11,47,WAVESWaves,WAVES,"$583,210,871.95",$5.6057,"104,038,846 WAVES *","$164,153,220.45"
2021-01-11,26,MKRMaker,MKR,"$1,402,994,367.01","$1,408.39","996,170 MKR *","$487,919,098.82"
2021-01-11,49,EGLDElrond,EGLD,"$543,754,163.27",$32.64,"16,660,165 EGLD","$111,227,502.76"
2021-01-11,25,SNXSynthetix,SNX,"$1,422,250,559.85",$12.87,"110,519,345 SNX *","$324,013,497.99"
2021-01-11,51,AVAXAvalanche,AVAX,"$499,636,092.64",$6.4941,"76,937,055 AVAX","$101,394,969.31"
2021-01-11,63,GRTThe Graph,GRT,"$362,677,396.17",$0.2912,"1,245,666,867 GRT *","$172,135,661.74"
2021-01-11,74,TUSDTrueUSD,TUSD,"$275,370,967.75",$1.0012,"275,031,537 TUSD *","$232,739,685.70"
2021-01-11,54,UMAUMA,UMA,"$465,599,643.37",$8.3882,"55,506,671 UMA *","$30,579,391.14"
2021-01-11,55,ONTOntology,ONT,"$442,661,826.02",$0.5494,"805,646,909 ONT *","$375,914,942.33"
2021-01-11,56,OMGOMG Network,OMG,"$431,177,241.29",$3.0744,"140,245,398 OMG *","$458,235,991.89"
2021-01-11,57,NANONano,NANO,"$377,807,581.52",$2.8354,"133,248,297 NANO *","$150,443,613.28"
2021-01-11,58,OKBOKB,OKB,"$380,703,026.39",$6.3451,"60,000,000 OKB *","$416,464,610.62"
2021-01-11,59,LRCLoopring,LRC,"$382,021,822.84",$0.3158,"1,209,835,913 LRC *","$114,218,185.45"
2021-01-11,60,STXBlockstack,STX,"$365,577,075.98",$0.4942,"739,781,894 STX","$10,392,807.53"
2021-01-11,61,RSRReserve Rights,RSR,"$366,842,534.72",$0.03923,"9,349,999,000 RSR *","$269,067,127.95"
2021-01-11,76,CHSBSwissBorg,CHSB,"$268,385,733.33",$0.2876,"933,187,845 CHSB *","$4,798,059.82"
2021-01-11,62,DGBDigiByte,DGB,"$362,513,653.97",$0.02602,"13,930,715,514 DGB","$34,398,956.97"
2021-01-11,64,LUNATerra,LUNA,"$359,030,773.88",$0.7404,"484,917,221 LUNA *","$56,629,815.63"
2021-01-11,69,RENRen,REN,"$324,967,984.20",$0.3672,"884,917,075 REN *","$107,497,095.25"
2021-01-11,73,QTUMQtum,QTUM,"$282,243,887.66",$2.8934,"97,548,132 QTUM *","$809,688,397.55"
2021-01-11,72,NEARNEAR Protocol,NEAR,"$292,103,391.42",$1.4834,"196,911,019 NEAR *","$43,073,514.33"
2021-01-11,71,HBARHedera Hashgraph,HBAR,"$293,882,853.76",$0.04346,"6,762,217,483 HBAR *","$43,259,062.38"
2021-01-11,70,NEXONexo,NEXO,"$316,071,270.33",$0.5644,"560,000,011 NEXO *","$11,203,436.65"
2021-01-11,52,SUSHISushiSwap,SUSHI,"$492,328,913.19",$3.8692,"127,244,443 SUSHI *","$514,656,096.63"
2021-01-11,68,ZRX0x,ZRX,"$327,449,242.77",$0.4366,"749,924,324 ZRX *","$143,517,280.27"
2021-01-11,66,BATBasic Attention Token,BAT,"$343,783,548.36",$0.2292,"1,499,780,869 BAT *","$274,153,539.72"
2021-01-11,65,ICXICON,ICX,"$353,537,923.85",$0.6081,"581,346,595 ICX *","$80,359,046.24"
2021-01-11,53,RENBTCrenBTC,RENBTC,"$473,599,813.91","$35,277.83","13,425 RENBTC *","$69,200,663.71"
2021-01-11,88,USTTerraUSD,UST,"$189,930,046.85",$1.0250,"185,293,942 UST","$39,431,177.51"
2021-01-11,67,BTTBitTorrent,BTT,"$351,185,582.12",$0.0003547,"989,989,792,116 BTT *","$128,544,145.02"
2021-01-11,78,PAXPaxos Standard,PAX,"$245,029,591.05",$1.0003,"244,951,954 PAX *","$306,502,977.18"
2021-01-11,77,ZENHorizen,ZEN,"$255,959,173.25",$24.05,"10,642,756 ZEN","$195,454,098.03"
2021-01-11,79,CELOCelo,CELO,"$241,694,935.84",$1.9421,"124,447,717 CELO","$11,287,319.80"
2021-01-11,80,BTGBitcoin Gold,BTG,"$218,300,377.04",$12.46,"17,513,924 BTG","$168,858,377.68"
2021-01-11,81,KNCKyber Network,KNC,"$196,890,153.54",$0.978,"201,317,421 KNC *","$79,371,348.41"
2021-01-11,82,RUNETHORChain,RUNE,"$207,514,514.67",$1.3098,"158,432,088 RUNE *","$33,118,074.07"
2021-01-11,83,XVGVerge,XVG,"$206,265,939.23",$0.01256,"16,417,587,143 XVG","$15,028,833.58"
2021-01-11,84,REPAugur,REP,"$201,478,551.65",$18.32,"11,000,000 REP *","$19,563,376.82"
2021-01-11,85,QNTQuant,QNT,"$196,840,049.11",$16.30,"12,072,738 QNT *","$6,531,063.52"
2021-01-11,86,SCSiacoin,SC,"$199,500,325.58",$0.004405,"45,289,882,992 SC","$31,487,325.00"
2021-01-11,87,EWTEnergy Web Token,EWT,"$193,223,220.41",$6.4275,"30,062,138 EWT *","$1,761,739.62"
2021-01-11,89,AMPLAmpleforth,AMPL,"$185,130,450.21",$0.8393,"220,578,073 AMPL *","$22,394,683.18"
2021-01-11,75,HUSDHUSD,HUSD,"$268,268,681.03",$1.0009,"268,021,476 HUSD *","$237,883,784.93"
2021-01-11,91,NXMNXM,NXM,"$176,172,466.61",$30.37,"5,801,350 NXM *","$27,635,155.60"
2021-01-11,92,BCDBitcoin Diamond,BCD,"$175,741,647.19",$0.9424,"186,492,898 BCD","$32,109,727.30"
2021-01-11,93,SNTStatus,SNT,"$170,822,794.66",$0.04922,"3,470,483,788 SNT *","$44,723,529.74"
2021-01-11,94,BANDBand Protocol,BAND,"$164,040,126.18",$8.0043,"20,494,033 BAND *","$194,171,397.03"
2021-01-11,95,ABBCABBC Coin,ABBC,"$162,219,069.04",$0.1917,"846,149,446 ABBC","$31,669,775.83"
2021-01-11,96,OCEANOcean Protocol,OCEAN,"$160,161,589.45",$0.3822,"419,026,837 OCEAN *","$51,863,697.40"
2021-01-11,97,IOSTIOST,IOST,"$160,776,632.75",$0.01049,"15,324,121,695 IOST *","$183,367,353.18"
2021-01-11,98,LSKLisk,LSK,"$157,803,854.48",$1.2435,"126,904,422 LSK *","$11,908,186.51"
2021-01-11,99,HEDGHedgeTrade,HEDG,"$155,278,648.17",$0.4577,"339,231,468 HEDG *","$216,285.78"
2021-01-11,100,HOTHolo,HOT,"$149,052,478.56",$0.0008909,"167,313,361,967 HOT *","$19,939,315.08"
2021-01-11,90,BTCBBitcoin BEP2,BTCB,"$176,486,092.35","$35,142.12","5,022 BTCB *","$3,579,770.49"
2021-01-18,7,LTCLitecoin,LTC,"$10,088,494,154.91",$152.14,"66,308,816LTC","$6,640,211,537.69"
2021-01-18,6,ADACardano,ADA,"$11,556,043,621.96",$0.3714,"31,112,484,646ADA","$3,480,282,508.18"
2021-01-18,5,XRPXRP,XRP,"$12,929,668,503.96",$0.2848,"45,404,028,640XRP*","$3,239,112,861.45"
2021-01-18,4,DOTPolkadot,DOT,"$14,889,926,542.95",$16.51,"901,713,325DOT*","$3,888,179,751.52"
2021-01-18,49,WAVESWaves,WAVES,"$811,767,898.81",$7.7980,"104,099,296 WAVES *","$226,768,984.34"
2021-01-18,2,ETHEthereum,ETH,"$143,716,601,983.40","$1,257.28","114,307,600ETH","$25,817,455,559.91"
2021-01-18,1,BTCBitcoin,BTC,"$681,470,030,572.07","$36,630.08","18,604,112BTC","$49,511,702,429.35"
2021-01-18,8,BCHBitcoin Cash,BCH,"$9,509,547,494.03",$510.42,"18,631,000BCH","$4,495,156,814.40"
2021-01-18,3,USDTTether,USDT,"$24,371,700,754.93",$1.0008,"24,352,132,870USDT*","$81,024,209,657.58"
2021-01-18,9,LINKChainlink,LINK,"$8,847,769,957.21",$22.04,"401,509,556LINK*","$3,602,422,029.25"
2021-01-18,15,XMRMonero,XMR,"$2,796,449,209.28",$156.96,"17,816,674XMR","$1,245,369,744.93"
2021-01-18,11,BNBBinance Coin,BNB,"$6,458,589,310.49",$45.35,"142,406,561BNB*","$586,905,636.03"
2021-01-18,12,USDCUSD Coin,USDC,"$5,120,886,244.26",$1.0006,"5,117,987,140USDC*","$1,412,016,575.00"
2021-01-18,14,BSVBitcoin SV,BSV,"$3,845,481,526.19",$206.43,"18,628,658BSV","$975,120,621.51"
2021-01-18,22,THETATHETA,THETA,"$2,042,446,195.25",$2.0424,"1,000,000,000 THETA *","$117,206,724.19"
2021-01-18,16,EOSEOS,EOS,"$2,642,394,549.67",$2.8123,"939,589,128EOS*","$2,125,840,773.46"
2021-01-18,17,UNIUniswap,UNI,"$2,556,450,474.32",$9.2156,"277,403,811UNI*","$2,128,019,522.82"
2021-01-18,18,AAVEAave,AAVE,"$2,421,614,478.23",$197.66,"12,251,596AAVE*","$495,408,127.88"
2021-01-18,19,XTZTezos,XTZ,"$2,294,270,270.65",$3.0302,"757,135,005XTZ*","$416,319,446.49"
2021-01-18,20,TRXTRON,TRX,"$2,265,701,654.59",$0.03162,"71,659,657,369TRX*","$1,114,043,434.73"
2021-01-18,21,XEMNEM,XEM,"$2,116,751,332.25",$0.2352,"8,999,999,999 XEM *","$94,115,215.93"
2021-01-18,48,ZILZilliqa,ZIL,"$851,989,834.07",$0.07849,"10,854,975,881 ZIL","$170,788,637.73"
2021-01-18,10,XLMStellar,XLM,"$6,708,461,687.41",$0.3036,"22,095,601,011XLM*","$1,011,246,741.63"
2021-01-18,23,ATOMCosmos,ATOM,"$1,984,361,396.58",$9.4940,"209,011,978 ATOM *","$983,655,097.96"
